,0
145,기스보다는 흠집이라고 해주시면 좋을 듯 해용💕﻿
146,구찌실비백에 체인빼고 저 리본같은걸 가방끈처럼 고리에 껴서 사용하면 훨씬가볍고이뻐요ㅋㅋ﻿
147,원피스정보좀주세요오옹오﻿
148,너무 궈여우시다.. 입틀막﻿
149,"가글이였나? Cf 되게 상큼하고 호감이였음
사람자체가 밝아서 직업에
대한인식보다 이미지가더좋아보인달까﻿"
150,기여우세요 ㅠ❤️﻿
151,발렌시아가 하얀색 너무 갖고싶어요 캐주얼한게 내스타일 ㅜㅜ 얼마일까요﻿
152,다음에는 미니백 이나 큰가방에 넣고 다니는 데일리 내부도 궁금해요﻿
153,"소개 너무 잘해주시는 것 같아요 데일리 사진추가도 어려운데 감사해요^^ 생로랑 검정 가방 내부 궁금했는데 영상에 안나와서 아쉬웠어요 
제눈에는 다 다른 가방 너무 이쁘네요^^﻿"
154,명품가방 특히 작은가방 관심도 없는데 왜 난 끝까지 봤지?ㅋㅋㅋㅋ﻿
155,발렌시아가 퍼플백 이름아시는분계신가요??﻿
156,"남자로써는 이해가 안가는구만
이해가는 남성분 있나요?
물론 수집욕이라고 해도 저정도는좀..﻿"
157,귀여워........ 항상 부끄러워 하면서 말하는게 너무귀여움ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ﻿
158,"언니 ㅠㅠ 귀걸이 어디서 구매하셨어요? ㅠㅠ 너무 예뻐요, 저두 사고싶어요 ㅠㅠ﻿"
159,언니 가격대도 같이 정리해서 올려주시면 더 좋을 것 같아요~!~!~!~! 잘 봤습니당~~~﻿
160,구찌리본백 진짜 예쁘네요ㅠㅠㅠ 제가 헤질때까지 대신 매드리고싶(??﻿
161,"샤넬,입생로랑 가방이 진짜 클래식한데 들고다니기엔 무거움. 특히 저 체인... 폰넣고 지갑만 넣고다녔는데 엄~~청 무거움. 저 체인무게 때문에 버리고싶을정도였음. 사진찍기엔 딱ㅋㅋㅋ좋음﻿"
162,하늘언니 입고 있는 원피스 너무 예뻐요!! 정보좀 주실 수 있나용?.?﻿
163,
164,하늘님 성격이 워낙에 털털 하시고 수더분 하신거 같아서 명품 가방 소개 하시는데 캐쥬얼하게 편하게 설명해 주셔서 영상도 재밌고 정보도 얻어가요 감사해요 확실히 신여성이시네요 유행과 시대를 이끌어 가시는 똑부러지는 커리어우먼 같은 하늘님이 명품 소개해 주시니 더 잘어울리고 스타일링들이 예쁩니다 사람들과 소통하시려고 하시는 모습도 건강한 에너지 함께 느끼게 해주시니 활력 얻고 가요 벌써 10월 날씨가 쌀쌀하니 감기 조심하세요^^﻿
165,화면 전환하지 말고 정면으로만 쭉 보여주세요ㅠㅠ 하늘님 시선도 정면으로만 향하고 있으셔서 정면으로만 보여주시는 게 더 좋을 것 같아요ㅜㅠㅜ﻿
166,"Yay ! Eng subs !
Love ya 😚😚😚😚﻿"
167,How old is she? Does she have a boyfriend already? 😆 So prettyyy :)﻿
168,어 가글 광고 하신분 아니세요???﻿
